node1,node2,route_distance,Heuristic distance
Bhopal,Sarangarh,748,611
Bhopal,Hanamkonda,793,623
Bhopal,Ghazipur,821,676
Bhopal,Jaipur,593,436
Bhopal,Palamu,890,685
Bikaner,Aligarh,525,470
Bikaner,Belagavi,1630,1353
Bikaner,Lucknow,855,766
Bikaner,Rajsamand,422,332
Bikaner,Patna,1363,1205
Bikaner,Bundi,439,369
Bikaner,Madhepura,1494,1311
Bikaner,Delhi,423,379
Bikaner,Bikaner,0,0
Bikaner,Ghazipur,1202,1055
Bundi,Aligarh,453,365
Bundi,Arrah,1118,906
Bundi,Balaghat,801,612
Bundi,Belagavi,1245,1067
Bundi,Bikaner,439,369
Bundi,Sikar,331,246
Bundi,Bundi,0,0
Bundi,Lakhimpur,757,581
Bundi,Daudnagar,1049,882
Bundi,Sitamarhi,1210,994
Bundi,Morena,346,262
Bundi,Faridabad,440,369
Bundi,Nawada,1179,999
Bundi,Ghazipur,955,797
Bundi,Jehanabad,1121,940
Calicut,Patna,2376,1867
Calicut,Kota,1894,1544
Calicut,Una,2750,2238
Calicut,Lakhimpur,2357,1919
Calicut,Hanamkonda,1059,850
Calicut,Morena,2152,1702
Calicut,Faridabad,2366,1905
Calicut,Jaipur,2145,1732
Calicut,Palamu,2169,1647
Chitrakoot,Agra,426,361
Chitrakoot,Arrah,445,384
Chitrakoot,Baghpat,653,551
Chitrakoot,Lucknow,228,185
Chitrakoot,Rajsamand,846,704
Chitrakoot,Gaya,491,419
Chitrakoot,Sikar,776,631
Chitrakoot,Prayagraj,124,102
Chitrakoot,Una,1006,829
Chitrakoot,Daudnagar,420,356
Chitrakoot,Hanamkonda,1001,805
Chitrakoot,Faridabad,600,502
Chitrakoot,Ghazipur,326,276
Chitrakoot,Sri Ganganagar,1045,866
Daudnagar,Araria,417,330
Daudnagar,Bundi,1049,882
Daudnagar,Chitrakoot,420,356
Daudnagar,Lucknow,466,399
Daudnagar,Raebareli,435,342
Daudnagar,Prayagraj,285,261
Daudnagar,Una,1321,1069
Daudnagar,Sarangarh,553,404
Daudnagar,Durgapur,377,339
Daudnagar,Palamu,160,135
Delhi,Aligarh,163,131
Delhi,Araria,1275,1061
Delhi,Arrah,964,826
Delhi,Baghpat,48,29
Delhi,Balaghat,1011,823
Delhi,Bhagalpur,1248,1052
Delhi,Bikaner,423,379
Delhi,Lucknow,497,431
Delhi,Raebareli,568,493
Delhi,Gaya,1038,896
Delhi,Sikar,273,227
Delhi,Una,365,316
Delhi,Lakhimpur,451,370
Delhi,Morena,300,260
Delhi,Mahoba,587,467
Delhi,Mirzapur,761,671
Delhi,Rohtas,937,796
Durgapur,Agra,1104,1019
Durgapur,Daudnagar,377,339
Durgapur,Lucknow,842,739
Durgapur,Kota,1355,1176
Durgapur,Una,1648,1400
Durgapur,Lakhimpur,929,818
Durgapur,Mahoba,870,778
Durgapur,Nawada,306,234
Durgapur,Sri Ganganagar,1721,1510
Faridabad,Araria,1272,1034
Faridabad,Arrah,961,794
Faridabad,Baghpat,67,59
Faridabad,Belagavi,1684,1420
Faridabad,Bundi,440,369
Faridabad,Calicut,2366,1905
Faridabad,Chitrakoot,600,502
Faridabad,Lucknow,447,397
Faridabad,Kota,433,382
Faridabad,Sarangarh,1175,953
Faridabad,Sitamarhi,1004,833
Faridabad,Sitapur,419,343
Faridabad,Pakur,1335,1129
Faridabad,Sagar,594,525
Faridabad,Nawada,1047,906
Faridabad,Palamu,1030,846
Gaya,Agra,871,748
Gaya,Araria,396,287
Gaya,Belagavi,1865,1476
Gaya,Chitrakoot,491,419
Gaya,Delhi,1038,896
Gaya,Lucknow,537,465
Gaya,Raebareli,506,409
Gaya,Patna,102,89
Gaya,Kota,1090,923
Gaya,Sikar,1223,1033
Gaya,Una,1392,1131
Gaya,Lakhimpur,680,547
Gaya,Madhepura,283,206
Gaya,Hanamkonda,1323,939
Gaya,Morena,843,728
Gaya,Jodhpur,1439,1214
Gaya,Mahoba,605,519
Gaya,Pakur,364,288
Gaya,Sagar,820,644
Gaya,Ghazipur,207,168
Gaya,Jaipur,1109,952
Gaya,Sri Ganganagar,1491,1236
Ghazipur,Aligarh,680,603
Ghazipur,Araria,470,393
Ghazipur,Arrah,122,109
Ghazipur,Balaghat,756,542
Ghazipur,Belagavi,1718,1433
Ghazipur,Bhopal,821,676
Ghazipur,Bikaner,1202,1055
Ghazipur,Bundi,955,797
Ghazipur,Chitrakoot,326,276
Ghazipur,Gaya,207,168
Ghazipur,Rajsamand,1165,977
Ghazipur,Patna,174,156
Ghazipur,Prayagraj,202,174
Ghazipur,Hanamkonda,1254,936
Ghazipur,Sitapur,433,362
Ghazipur,Pakur,554,443
Ghazipur,Nawada,267,212
Ghazipur,Mirzapur,142,113
Ghazipur,Ghazipur,0,0
Hanamkonda,Aligarh,1350,1105
Hanamkonda,Araria,1647,1213
Hanamkonda,Baghpat,1520,1234
Hanamkonda,Belagavi,737,589
Hanamkonda,Bhopal,793,623
Hanamkonda,Calicut,1059,850
Hanamkonda,Chitrakoot,1001,805
Hanamkonda,Gaya,1323,939
Hanamkonda,Ghazipur,1254,936
Hanamkonda,Raebareli,1150,927
Hanamkonda,Kota,1134,884
Hanamkonda,Una,1864,1527
Hanamkonda,Hanamkonda,0,0
Hanamkonda,Morena,1179,953
Hanamkonda,Jaipur,1386,1059
Hanamkonda,Rohtas,1262,907
Jaipur,Arrah,1024,899
Jaipur,Bhopal,593,436
Jaipur,Calicut,2145,1732
Jaipur,Gaya,1109,952
Jaipur,Hanamkonda,1386,1059
Jaipur,Prayagraj,710,627
Jaipur,Madhepura,1208,1058
Jaipur,Sitamarhi,1125,966
Jaipur,Morena,290,224
Jaipur,Jodhpur,330,285
Jaipur,Nawada,1169,1002
Jaipur,Mirzapur,806,706
Jaipur,Jaipur,0,0
Jaipur,Rohtas,966,848
Jaipur,Sri Ganganagar,461,381
Jehanabad,Arrah,80,49
Jehanabad,Baghpat,1038,873
Jehanabad,Bundi,1121,940
Jehanabad,Sikar,1224,1017
Jehanabad,Prayagraj,357,316
Jehanabad,Madhepura,234,175
Jehanabad,Morena,844,714
Jehanabad,Sagar,821,651
Jehanabad,Rohtas,118,98
Jehanabad,Jehanabad,0,0
Jodhpur,Agra,570,506
Jodhpur,Balaghat,1151,877
Jodhpur,Gaya,1439,1214
Jodhpur,Jaipur,330,285
Jodhpur,Lucknow,899,792
Jodhpur,Prayagraj,1040,888
Jodhpur,Sarangarh,1417,1145
Jodhpur,Sitapur,895,774
Jodhpur,Sagar,817,634
Jodhpur,Rohtas,1296,1110
Jodhpur,Palamu,1455,1148
Kota,Araria,1396,1167
Kota,Calicut,1894,1544
Kota,Durgapur,1355,1176
Kota,Faridabad,433,382
Kota,Gaya,1090,923
Kota,Hanamkonda,1134,884
Kota,Lucknow,634,540
Kota,Raebareli,662,552
Kota,Patna,1129,933
Kota,Sikar,368,275
Kota,Una,861,694
Kota,Sarangarh,1048,839
Kota,Lakhimpur,767,575
Kota,Mahoba,484,405
Kota,Rohtas,977,822
Kota,Sri Ganganagar,714,555
Lakhimpur,Arrah,595,468
Lakhimpur,Balaghat,902,682
Lakhimpur,Bundi,757,581
Lakhimpur,Calicut,2357,1919
Lakhimpur,Delhi,451,370
Lakhimpur,Durgapur,929,818
Lakhimpur,Gaya,680,547
Lakhimpur,Kota,767,575
Lakhimpur,Lucknow,131,122
Lakhimpur,Rajsamand,919,757
Lakhimpur,Patna,627,505
Lakhimpur,Prayagraj,331,297
Lakhimpur,Sarangarh,958,741
Lakhimpur,Sitapur,46,43
Lakhimpur,Mirzapur,416,358
Lakhimpur,Rohtas,559,453
Lakhimpur,Sri Ganganagar,866,706
Lucknow,Arrah,452,398
Lucknow,Balaghat,732,563
Lucknow,Bikaner,855,766
Lucknow,Chitrakoot,228,185
Lucknow,Daudnagar,466,399
Lucknow,Delhi,497,431
Lucknow,Durgapur,842,739
Lucknow,Faridabad,447,397
Lucknow,Gaya,537,465
Lucknow,Jodhpur,899,792
Lucknow,Kota,634,540
Lucknow,Lakhimpur,131,122
Lucknow,Sikar,683,581
Lucknow,Morena,348,296
Lucknow,Pakur,884,734
Lucknow,Sagar,444,401
Lucknow,Nawada,597,509
Lucknow,Mirzapur,286,249
Lucknow,Palamu,626,460
Madhepura,Agra,970,840
Madhepura,Aligarh,973,844
Madhepura,Bikaner,1494,1311
Madhepura,Gaya,283,206
Madhepura,Jaipur,1208,1058
Madhepura,Jehanabad,234,175
Madhepura,Una,1489,1147
Madhepura,Sitapur,725,587
Madhepura,Pakur,336,225
Mahoba,Arrah,557,481
Mahoba,Belagavi,1488,1186
Mahoba,Delhi,587,467
Mahoba,Durgapur,870,778
Mahoba,Gaya,605,519
Mahoba,Kota,484,405
Mahoba,Rajsamand,725,605
Mahoba,Patna,607,529
Mahoba,Sikar,721,538
Mahoba,Morena,302,231
Mahoba,Sitapur,321,264
Mahoba,Sagar,215,198
Mahoba,Nawada,663,572
Mahoba,Rohtas,494,417
Mirzapur,Baghpat,760,676
Mirzapur,Delhi,761,671
Mirzapur,Ghazipur,142,113
Mirzapur,Jaipur,806,706
Mirzapur,Lakhimpur,416,358
Mirzapur,Lucknow,286,249
Mirzapur,Raebareli,208,179
Mirzapur,Prayagraj,89,79
Mirzapur,Una,1113,934
Mirzapur,Sitamarhi,413,335
Mirzapur,Morena,573,482
Mirzapur,Sitapur,374,328
Mirzapur,Mirzapur,0,0
Morena,Bundi,346,262
Morena,Calicut,2152,1702
Morena,Delhi,300,260
Morena,Gaya,843,728
Morena,Hanamkonda,1179,953
Morena,Jaipur,290,224
Morena,Jehanabad,844,714
Morena,Lucknow,348,296
Morena,Mahoba,302,231
Morena,Mirzapur,573,482
Morena,Sitamarhi,910,748
Morena,Morena,0,0
Morena,Sitapur,345,291
Morena,Sagar,342,303
Morena,Palamu,894,682
Morena,Sri Ganganagar,699,553
Nawada,Arrah,155,115
Nawada,Baghpat,1097,939
Nawada,Belagavi,1925,1525
Nawada,Bundi,1179,999
Nawada,Durgapur,306,234
Nawada,Faridabad,1047,906
Nawada,Ghazipur,267,212
Nawada,Jaipur,1169,1002
Nawada,Lucknow,597,509
Nawada,Mahoba,663,572
Nawada,Raebareli,565,456
Nawada,Sikar,1282,1081
Nawada,Prayagraj,416,377
Nawada,Sitamarhi,224,188
Nawada,Sagar,879,700
Nawada,Nawada,0,0
Nawada,Palamu,275,186
Pakur,Agra,1218,1025
Pakur,Aligarh,1221,1039
Pakur,Araria,236,170
Pakur,Arrah,432,336
Pakur,Bhagalpur,151,110
Pakur,Faridabad,1335,1129
Pakur,Gaya,364,288
Pakur,Ghazipur,554,443
Pakur,Lucknow,884,734
Pakur,Madhepura,336,225
Pakur,Patna,382,293
Pakur,Sikar,1569,1312
Pakur,Prayagraj,733,612
Pakur,Pakur,0,0
Pakur,Rohtas,494,390
Pakur,Sri Ganganagar,1838,1500
Palamu,Baghpat,1079,888
Palamu,Bhopal,890,685
Palamu,Calicut,2169,1647
Palamu,Daudnagar,160,135
Palamu,Faridabad,1030,846
Palamu,Jodhpur,1455,1148
Palamu,Lucknow,626,460
Palamu,Morena,894,682
Palamu,Nawada,275,186
Palamu,Rajsamand,1292,1044
Palamu,Sikar,1237,991
Palamu,Sarangarh,427,270
Palamu,Sitamarhi,390,335
Palamu,Sitapur,717,537
Palamu,Sagar,719,546
Palamu,Palamu,0,0
Palamu,Sri Ganganagar,1505,1217
Patna,Aligarh,842,746
Patna,Araria,313,239
Patna,Bikaner,1363,1205
Patna,Calicut,2376,1867
Patna,Gaya,102,89
Patna,Ghazipur,174,156
Patna,Kota,1129,933
Patna,Lakhimpur,627,505
Patna,Mahoba,607,529
Patna,Pakur,382,293
Patna,Rajsamand,1377,1134
Patna,Patna,0,0
Patna,Sikar,1190,1020
Prayagraj,Araria,673,567
Prayagraj,Baghpat,664,600
Prayagraj,Chitrakoot,124,102
Prayagraj,Daudnagar,285,261
Prayagraj,Ghazipur,202,174
Prayagraj,Jaipur,710,627
Prayagraj,Jehanabad,357,316
Prayagraj,Jodhpur,1040,888
Prayagraj,Lakhimpur,331,297
Prayagraj,Mirzapur,89,79
Prayagraj,Nawada,416,377
Prayagraj,Pakur,733,612
Prayagraj,Sarangarh,626,444
Prayagraj,Sitamarhi,466,387
Prayagraj,Sitapur,289,263
Prayagraj,Sagar,451,361
Raebareli,Daudnagar,435,342
Raebareli,Delhi,568,493
Raebareli,Gaya,506,409
Raebareli,Hanamkonda,1150,927
Raebareli,Kota,662,552
Raebareli,Mirzapur,208,179
Raebareli,Nawada,565,456
Raebareli,Rohtas,368,305
Rajsamand,Aligarh,619,523
Rajsamand,Araria,1635,1367
Rajsamand,Belagavi,1269,1022
Rajsamand,Bikaner,422,332
Rajsamand,Chitrakoot,846,704
Rajsamand,Ghazipur,1165,977
Rajsamand,Lakhimpur,919,757
Rajsamand,Mahoba,725,605
Rajsamand,Palamu,1292,1044
Rajsamand,Patna,1377,1134
Rajsamand,Rajsamand,0,0
Rajsamand,Una,941,747
Rajsamand,Sitapur,899,732
Rajsamand,Sagar,679,510
Rohtas,Delhi,937,796
Rohtas,Hanamkonda,1262,907
Rohtas,Jaipur,966,848
Rohtas,Jehanabad,118,98
Rohtas,Jodhpur,1296,1110
Rohtas,Kota,977,822
Rohtas,Lakhimpur,559,453
Rohtas,Mahoba,494,417
Rohtas,Pakur,494,390
Rohtas,Raebareli,368,305
Rohtas,Sitamarhi,264,224
Rohtas,Sagar,710,552
Sagar,Arrah,772,629
Sagar,Faridabad,594,525
Sagar,Gaya,820,644
Sagar,Jehanabad,821,651
Sagar,Jodhpur,817,634
Sagar,Lucknow,444,401
Sagar,Mahoba,215,198
Sagar,Morena,342,303
Sagar,Nawada,879,700
Sagar,Palamu,719,546
Sagar,Prayagraj,451,361
Sagar,Rajsamand,679,510
Sagar,Rohtas,710,552
Sagar,Sarangarh,597,510
Sagar,Sagar,0,0
Sarangarh,Arrah,639,468
Sarangarh,Belagavi,1384,1104
Sarangarh,Bhopal,748,611
Sarangarh,Daudnagar,553,404
Sarangarh,Faridabad,1175,953
Sarangarh,Jodhpur,1417,1145
Sarangarh,Kota,1048,839
Sarangarh,Lakhimpur,958,741
Sarangarh,Palamu,427,270
Sarangarh,Prayagraj,626,444
Sarangarh,Sagar,597,510
Sarangarh,Una,1609,1287
Sarangarh,Sarangarh,0,0
Sarangarh,Sri Ganganagar,1619,1303
Sikar,Araria,1448,1233
Sikar,Arrah,1138,975
Sikar,Belagavi,1576,1303
Sikar,Bundi,331,246
Sikar,Chitrakoot,776,631
Sikar,Delhi,273,227
Sikar,Gaya,1223,1033
Sikar,Jehanabad,1224,1017
Sikar,Kota,368,275
Sikar,Lucknow,683,581
Sikar,Mahoba,721,538
Sikar,Nawada,1282,1081
Sikar,Pakur,1569,1312
Sikar,Palamu,1237,991
Sikar,Patna,1190,1020
Sikar,Una,575,441
Sikar,Sitamarhi,1237,1033
Sitamarhi,Araria,238,201
Sitamarhi,Bundi,1210,994
Sitamarhi,Faridabad,1004,833
Sitamarhi,Jaipur,1125,966
Sitamarhi,Mirzapur,413,335
Sitamarhi,Morena,910,748
Sitamarhi,Nawada,224,188
Sitamarhi,Palamu,390,335
Sitamarhi,Prayagraj,466,387
Sitamarhi,Rohtas,264,224
Sitamarhi,Sikar,1237,1033
Sitamarhi,Una,1407,1048
Sitapur,Araria,853,691
Sitapur,Bhagalpur,826,679
Sitapur,Faridabad,419,343
Sitapur,Ghazipur,433,362
Sitapur,Jodhpur,895,774
Sitapur,Lakhimpur,46,43
Sitapur,Madhepura,725,587
Sitapur,Mahoba,321,264
Sitapur,Mirzapur,374,328
Sitapur,Morena,345,291
Sitapur,Palamu,717,537
Sitapur,Prayagraj,289,263
Sitapur,Rajsamand,899,732
Sitapur,Sitapur,0,0
Sitapur,Sri Ganganagar,863,712
Sri Ganganagar,Araria,1716,1397
Sri Ganganagar,Chitrakoot,1045,866
Sri Ganganagar,Durgapur,1721,1510
Sri Ganganagar,Gaya,1491,1236
Sri Ganganagar,Jaipur,461,381
Sri Ganganagar,Kota,714,555
Sri Ganganagar,Lakhimpur,866,706
Sri Ganganagar,Morena,699,553
Sri Ganganagar,Pakur,1838,1500
Sri Ganganagar,Palamu,1505,1217
Sri Ganganagar,Sarangarh,1619,1303
Sri Ganganagar,Sitapur,863,712
Sri Ganganagar,Una,365,286
Sri Ganganagar,Sri Ganganagar,0,0
Una,Aligarh,505,433
Una,Calicut,2750,2238
Una,Chitrakoot,1006,829
Una,Daudnagar,1321,1069
Una,Delhi,365,316
Una,Durgapur,1648,1400
Una,Gaya,1392,1131
Una,Hanamkonda,1864,1527
Una,Kota,861,694
Una,Madhepura,1489,1147
Una,Mirzapur,1113,934
Una,Rajsamand,941,747
Una,Sarangarh,1609,1287
Una,Sikar,575,441
Una,Sitamarhi,1407,1048
Una,Sri Ganganagar,365,286
Una,Una,0,0
